Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Azure Healthcare APIs,microsoft.healthcareapis,healthcareapis,,NotStarted,,,,specification/healthcareapis/resource-manager/Microsoft.HealthcareApis/HealthcareApis/tspconfig.yaml,,sdk/resourcemanager/healthcareapis/armhealthcareapis,,,,,,"From Dry Run Release sheet (row 105). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Hybrid Resource Provider,microsoft.hybridcompute,hybridcompute,,NotStarted,,,,specification/hybridcompute/resource-manager/Microsoft.HybridCompute/HybridCompute/tspconfig.yaml,,sdk/resourcemanager/hybridcompute/armhybridcompute,,,,,,"From Dry Run Release sheet (row 106). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Application Insights,microsoft.insights,monitor/Microsoft.Insights,,NotStarted,,,NoSpec,,,sdk/resourcemanager/monitor/armmonitor,,,,,,"From Dry Run Release sheet (row 107). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Log Analytics,microsoft.operationalinsights,operationalinsights,,NotStarted,,,,specification/operationalinsights/resource-manager/Microsoft.OperationalInsights/OperationalInsights/tspconfig.yaml,,sdk/resourcemanager/operationalinsights/armoperationalinsights,,,,,,"From Dry Run Release sheet (row 108). DryRun: .Net=NotStarted, Java=Released, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Policy,microsoft.policyinsights,policyinsights,,NotStarted,,,,specification/policyinsights/resource-manager/Microsoft.PolicyInsights/PolicyInsights/tspconfig.yaml,,sdk/resourcemanager/policyinsights/armpolicyinsights,,,,,,"From Dry Run Release sheet (row 109). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=Released."
Reservations RP,microsoft.capacity,reservations,,NotStarted,,,,specification/reservations/resource-manager/Microsoft.Capacity/Reservations/tspconfig.yaml,,sdk/resourcemanager/reservations/armreservations,,,,,,"From Dry Run Release sheet (row 110). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Graph,microsoft.resourcegraph,resourcegraph,,NotStarted,,,,specification/resourcegraph/resource-manager/Microsoft.ResourceGraph/ResourceGraph/tspconfig.yaml,,sdk/resourcemanager/resourcegraph/armresourcegraph,,,,,,"From Dry Run Release sheet (row 111). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Health,microsoft.resourcehealth,resourcehealth,,NotStarted,,,,specification/resourcehealth/resource-manager/Microsoft.ResourceHealth/ResourceHealth/tspconfig.yaml,,sdk/resourcemanager/resourcehealth/armresourcehealth,,,,,,"From Dry Run Release sheet (row 112). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Microsoft Defender for Cloud,microsoft.security,security,,NotStarted,,,,specification/security/resource-manager/Microsoft.Security/Security/tspconfig.yaml,,sdk/resourcemanager/security/armsecurity,,,,,,"From Dry Run Release sheet (row 113). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
SQL Control Plane,microsoft.sql,sql,,NotStarted,,,,specification/sql/resource-manager/Microsoft.Sql/SQL/tspconfig.yaml,,sdk/resourcemanager/sql/armsql,,,,,,"From Dry Run Release sheet (row 114). DryRun: .Net=NotStarted, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Avere Azure Storage Cache,microsoft.storagecache,storagecache,,NotStarted,,,,specification/storagecache/resource-manager/Microsoft.StorageCache/StorageCache/tspconfig.yaml,,sdk/resourcemanager/storagecache/armstoragecache,,,,,,"From Dry Run Release sheet (row 115). DryRun: .Net=NotStarted, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Manager,microsoft.resources,resources/Microsoft.Resources/resources,,Core lib,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 117). DryRun: .Net=Core lib, Java=Premium, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Hybrid Data,microsoft.azurearcdata,azurearcdata,,NotStarted,,,NoSpec,,,sdk/resourcemanager/azurearcdata/armazurearcdata,,,,,,"From Dry Run Release sheet (row 118). DryRun: .Net=NotStarted, Java=NO_SPEC, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Databricks,microsoft.databricks,databricks,,NotStarted,,,,specification/databricks/resource-manager/Microsoft.Databricks/Databricks/tspconfig.yaml,,sdk/resourcemanager/databricks/armdatabricks,,,,,,"From Dry Run Release sheet (row 119). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
